Market,Medium,Month, Rate Card , Discount , Added Value 
"Mauritius 
(MUR)",DOOH,Jun, 741 875 , 91 375 , -   
"Mozambique 
(MZN)",Digital,Jun, 788 828 , 52 122 , -   
"Mozambique 
(MZN)",Print,Jun, 6 000 , 300 , -   
"Mozambique 
(MZN)",OOH,Jun, 1 949 662 , 69 328 , -   
"Seychells
(SCR)",Digital,Jun, 37 383 , 7 103 , -   
"Seychells
(SCR)",Radio,Jun, 47 532 , 10 932 , 11 050 
"Seychells
(SCR)",Print,Jun, 10 120 , 2 024 , -   
"Seychells
(SCR)",OOH,Jun, 79 627 , 19 907 , -   
"Seychells
(SCR)",DOOH,Jun, 58 474 , 19 230 , -   
"Tanzania 
(TZS)",Radio,Jun, 11 800 000 , -   , -   
"Tanzania 
(TZS)",Print,Jun, 820 000 , -   , -   
"Tanzania 
(TZS)",DOOH,Jun, 3 500 000 , -   , -   
"Uganda 
(UGX)",Television,Jun, 225 000 000 , 129 000 000 , 126 032 506 
"Uganda 
(UGX)",Digital,Jun, 58 449 965 , -   , -   
"Uganda 
(UGX)",Radio,Jun, 275 000 000 , 188 000 000 , 340 143 400 
"Uganda 
(UGX)",Print,Jun, 85 000 000 , 73 512 969 , 12 131 612 
"Uganda 
(UGX)",DOOH,Jun, 38 000 000 , 24 000 000 , -   
"Zambia 
(ZMW)",Television,Jun, 652 934 , 126 374 , 110 223 
"Zambia 
(ZMW)",Digital,Jun, 278 600 , 30 436 , 2 000 
"Zambia 
(ZMW)",Radio,Jun, 556 002 , 128 308 , 220 113 
"Zambia 
(ZMW)",OOH,Jun, 447 190 , 86 553 , 48 000 
"Zambia 
(ZMW)",DOOH,Jun, 253 760 , 60 760 , 60 200 
Botswana (BWP),Digital,Jul, 96 300 , -   , -   
Botswana (BWP),Radio,Jul, 158 749 , 48 331 , -   
Botswana (BWP),Print,Jul, 175 691 , 11 430 , -   
Botswana (BWP),OOH,Jul, 101 701 , 8 693 , -   
Botswana (BWP),DOOH,Jul, 169 872 , 23 889 , -   
"Ghana 
(GHS)",Television,Jul, 511 709 , 188 925 , -   
"Ghana 
(GHS)",Digital,Jul, 134 398 , 0.00 , -   
"Ghana 
(GHS)",Radio,Jul, 846 330 , 559 829 ,
"Ghana 
(GHS)",Print,Jul, 97 333 , 21 942 ,
"Ghana 
(GHS)",OOH,Jul, 642 572 , 274 167 ,
"Ghana 
(GHS)",DOOH,Jul, 30 300 , -   ,
"Kenya
 (KES)",Digital,Jul, 3 446 082 , -   , -   
"Kenya
 (KES)",META,Jul, 490 011 , -   , -   
"Kenya
 (KES)",LinkedIn,Jul, 40 258 , -   , -   
"Kenya
 (KES)",X,Jul, 192 850 , -   , -   
"Kenya
 (KES)",Google Display Network,Jul, 1 998 471 , -   , -   
"Kenya
 (KES)",Programmatic Display,Jul, 724 492 , -   , -   
"Kenya
 (KES)",Radio,Jul, 700 000 , 126 000 , 30 000 
"Kenya
 (KES)",Print,Jul, 311 000 , 62 253 , -   
"Kenya
 (KES)",OOH,Jul, 130 000 , 20 000 , -   
"Mauritius 
(MUR)",Digital,Jul, 493 470 , 18 563 , -   
"Mauritius 
(MUR)",Radio,Jul, 375 819 , 75 163 , -   
"Mauritius 
(MUR)",Print,Jul, 55 362 , 7 872 , -   
"Mauritius 
(MUR)",OOH,Jul, 617 601 , 100 513 , -   
